iter	R2	RMSE
0	0.1237312569	0.1331025921
1	0.228910573	0.1248591077
2	0.3169552831	0.1175147609
3	0.3917910308	0.1108904799
4	0.4551245149	0.1049582274
5	0.5059302538	0.09994520971
6	0.5513395794	0.09524161094
7	0.588485559	0.09121376726
8	0.6204378171	0.08760105183
9	0.6481356587	0.08434425012
10	0.6726485989	0.08135325893
11	0.6915787578	0.07896597355
12	0.7086255625	0.07675268499
13	0.7229059237	0.0748482195
14	0.7351982497	0.07316919529
15	0.7464564173	0.07159689105
16	0.7553816491	0.07032542574
17	0.7628051336	0.06925011447
18	0.7692742566	0.06829924139
19	0.7745693974	0.06751096082
20	0.7796812027	0.06674114132
21	0.7842982413	0.06603811923
22	0.7883826314	0.06540990341
23	0.7918866042	0.06486611248
24	0.7948599918	0.06440106321
25	0.7973772714	0.06400470978
26	0.8002120535	0.06355540558
27	0.8035269948	0.06302593498
28	0.8064346351	0.0625578304
29	0.8089102077	0.06215650653
30	0.8112058846	0.06178201659
31	0.8125354948	0.06156407775
32	0.8151276855	0.06113695328
33	0.816285602	0.06094519206
34	0.8182827605	0.06061301936
35	0.8198444503	0.06035200123
36	0.820634117	0.06021958703
37	0.8223043002	0.05993856098
38	0.8233546642	0.05976114921
39	0.8249156947	0.05949650595
40	0.8256372101	0.05937378804
41	0.8267707625	0.05918047544
42	0.8276722746	0.05902628233
43	0.8285548286	0.0588749406
44	0.8297747697	0.0586651004
45	0.8307016374	0.05850516814
46	0.8315468723	0.05835893967
47	0.8320136203	0.05827803344
48	0.8327556154	0.05814918409
49	0.8338323195	0.05796170229
50	0.8347215557	0.05780640499
51	0.8352581245	0.0577124958
52	0.8355614725	0.05765933677
53	0.836489588	0.05749638757
54	0.8368768159	0.0574282653
55	0.8376745127	0.0572876768
56	0.8385815911	0.05712739017
57	0.8392009349	0.05701768925
58	0.8396654474	0.05693527401
59	0.839996897	0.05687639421
60	0.8404867685	0.05678926001
61	0.8409552928	0.05670579761
62	0.8414677485	0.05661436841
63	0.8420553061	0.056509358
64	0.8424680584	0.05643547255
65	0.8427169353	0.05639087512
66	0.8434232309	0.05626411819
67	0.8438025476	0.05619592524
68	0.8440435206	0.05615256049
69	0.8440956494	0.05614317514
70	0.8447209027	0.05603048114
71	0.8453183752	0.05592258208
72	0.8460407306	0.05579185145
73	0.8463613493	0.05573372819
74	0.8472012544	0.05558117805
75	0.8475752811	0.05551310948
76	0.8479294861	0.0554485712
77	0.8481923358	0.05540062981
78	0.848709981	0.05530609455
79	0.8488567655	0.0552792585
80	0.8491963933	0.05521711571
81	0.8496570067	0.05513272383
82	0.8499574257	0.05507761252
83	0.8506357046	0.05495298024
84	0.8515661346	0.05478155447
85	0.8519480171	0.05471103961
86	0.8525595854	0.05459792338
87	0.8527750035	0.05455802359
88	0.8535029131	0.05442298362
89	0.8544145991	0.0542533758
90	0.8550905442	0.05412728153
91	0.855306313	0.054086969
92	0.8560404082	0.05394959096
93	0.8564858496	0.05386606057
94	0.8565704848	0.05385017491
95	0.856792014	0.0538085726
96	0.8571339216	0.05374430051
97	0.8574401159	0.05368667653
98	0.8575790059	0.05366051784
99	0.8581241415	0.05355772294
100	0.8583600865	0.05351317013
101	0.8589909645	0.05339386068
102	0.8593067297	0.05333404405
103	0.8595181414	0.05329395798
104	0.8597730896	0.05324557676
105	0.8602470153	0.0531555234
106	0.860512625	0.05310498661
107	0.8610203525	0.05300824868
108	0.8614861938	0.05291933581
109	0.8616498725	0.05288805976
110	0.8618956386	0.05284106352
111	0.8620575047	0.05281008809
112	0.8624658881	0.05273185713
113	0.8626185525	0.05270258253
